Mean	CUI1	CUI2	Term1	Term2
2.38	C0035450	C0034079	nódulo reumatoide	nódulo pulmonar
1	C0409162	C0333286	ferulización de la mano	hemorragia en astilla
1	C0011849	C0032584	diabetes	pólipo
1	C0020541	C0027962	hipertensión portal	nevo
1.69	C0018802	C0020541	insuficiencia cardíaca congestiva	hipertensión portal
3.92	C0085649	C0034063	Edema periférico	edema pulmonar
4.69	C0022650	C0041956	cálculo renal	obstrucción ureteral
5.31	C0004604	C0037944	dolor de espalda	estenosis espinal
7.08	C0003873	C0035450	Artritis Reumatoide	nódulo reumatoide
1	C0009871	C1444657	anticonceptivo	contraindicado
2.15	C0020971	C0021051	inmunización	inmunodeficiencia
4.46	C0026848	C0011633	miopatía	dermatomiositis
4.08	C0004093	C0442874	Astenia	neuropatía
4.08	C0013404	C0231835	disnea	taquipnea
2.77	C0034065	C0019079	embolia pulmonar	hemoptisis
2.85	C0029408	C0221434	osteoartritis	esclerosis ósea
3.77	C0231736	C0231749	signo del cajón	dolor de rodilla
3.54	C0458343	C0016053	zona gatillo	fibromialgia
5.69	C0457086	C0003873	rigidez matutina	Artritis Reumatoide
5	C0038454	C0018989	Accidente cerebrovascular	hemiparesia
4.23	C0006121	C1269897	tronco cerebral	nervio craneal
4.38	C0011167	C0031133	tragar	movimientos peristálticos
5.23	C0429103	C0027051	Onda t	infarto de miocardio
4.08	C1510420	C0041296	cavidad	tuberculosis
8.23	C0027627	C0205699	metástasis	carcinomatosis
4.69	C1956391	C0018681	arteritis temporal	dolor de cabeza
5.23	C0003243	C0443146	Anticuerpo antinuclear	reacción autoinmunitaria
5	C0011644	C0036421	esclerodermia	esclerosis Sistémica
4.85	C0032285	C0332448	neumonía	infiltrado
5.31	C0030472	C1306459	paraneoplásico	neoplasia maligna
6.15	C0003873	C1396859	Artritis Reumatoide	erosión articular
1.92	C0027540	C1547030	necrosis	licuefacción
5.54	C0011991	C0009319	Diarrea	colitis
5.23	C0013395	C0030920	dispepsia	úlcera péptica
6.08	C0009676	C0011253	Confusión	delirio
6	C0018524	C0033975	alucinación	Psicosis
6.85	C0038362	C0149745	estomatitis	Úlcera oral
3.23	C0034065	C0032285	embolia pulmonar	neumonía
3.77	C0003873	C0003904	Artritis Reumatoide	artroscopia
3.31	C1533685	C1253936	inyección	derrame articular
3	C0042384	C0040053	vasculitis	trombo
1.69	C0243026	C0020649	sepsis	hipotensión
5.31	C0042109	C0277942	urticaria	eritema malar
4.31	C0017196	C0162429	gastrostomía	desnutrición
2.38	C0013604	C0017654	edema	tasa de filtración glomerular
5.46	C0009378	C0032584	Colonoscopia	pólipo
2.85	C0010137	C1563292	cortisona	osteoporosis
5.62	C0003507	C0006660	estenosis aórtica	calcificación
3.15	C0024530	C0002438	malaria	amebiasis
2.85	C0442874	C0522224	neuropatía	parálisis
3.31	C0036572	C0018681	convulsión	dolor de cabeza
1	C0333997	C0043352	hiperplasia linfoide	xerostomía
1.46	C0036202	C0042866	sarcoidosis	Vitamina D
3.92	C0023223	C0042345	úlcera de la pierna	vena varicosa
4.38	C0080331	C0432601	caminar	subir escaleras
3.15	C0030326	C0023798	paniculitis	lipoma
3.31	C0003811	C0026264	arritmia	la válvula mitral
5.46	C0019054	C1561562	Hemólisis	hemoglobina
2.31	C0013394	C0029965	dispareunia	ovulación
3	C0030842	C0020517	penicilina	alergia
5.08	C0023418	C0038250	leucemia	célula madre
1.69	C0376358	C0001109	Cáncer de próstata	fosfatasa ácida
2.62	C0224498	C0029408	menisco	osteoartritis
1	C0037473	C0024485	sodio	resonancia magnética
1.77	C0033706	C0039142	protrombina	jeringa
1.08	C0026764	C0011581	mieloma múltiple	depresión
1	C0011849	C0035450	diabetes	nódulo reumatoide
1.23	C0220982	C0409974	cetoacidosis	lupus
1	C0040583	C0007102	estenosis traqueal	cáncer de colon
2.85	C0037199	C0442041	sinusitis	sinusoidal
1	C0267809	C0376180	cirrosis criptogénica	gastrina
1	C0018801	C0033975	insuficiencia cardiaca	Psicosis
1	C0034887	C0023055	pólipo rectal	cáncer de laringe
1	C0005587	C0232208	depresión bipolar	Ritmo nodal
1	C0026269	C0030920	estenosis mitral	úlcera péptica
1	C0035222	C0007642	Síndrome de distrés respiratorio	celulitis
1	C0037926	C0886052	compresión de la médula espinal	compresa
1	C0158280	C0023891	estenosis espinal cervical	cirrosis alcohólica
1	C0241910	C0022876	hepatitis autoinmune	parto prematuro
1.46	C0917996	C0034065	aneurisma cerebral	embolia pulmonar
1.54	C0018926	C0043352	Hematemesis	xerostomía
2	C0010043	C0011127	úlcera corneal	úlcera de decúbito
1	C0013404	C0231528	disnea	mialgia
1.08	C0024117	C0018520	enfermedad pulmonar obstructiva crónica	Halitosis
1	C0029408	C0392525	osteoartritis	nefrolitiasis
1.08	C0262538	C0040479	Rotura de ligamento	Torsade de pointes
1	C0034069	C0003615	fibrosis pulmonar	apendicitis
1	C0007286	C0549493	síndrome del túnel carpiano	Alveolitis
1.54	C0041834	C0029456	Eritema	osteoporosis
